"name","address","latitude","longitude"
"University of Denver","2199 S. University Blvd, Denver, CO 80208",39.676753,-104.959498
"University of Denver","2199 S. University Blvd, Denver, CO 80208",39.676753,-104.959498
"University of Georgia","456 East Broad Street, Athens, GA 30602",33.957831,-83.3731876698053
"University of Hartford","200 Bloomfield Ave, West Hartford, CT 06117-1599",41.7913564,-72.7154105
"University of Kentucky","101 Main Building, Lexington, KY 40506-0032",NA,NA
"University of Maine","5703 Alumni Hall, Suite 200, Orono, ME 04469-5703",NA,NA
"University of Miami","1252 Memorial Drive, 230 Ashe Bldg., Coral Gables, FL 33124-4600",NA,NA
"University of Mississippi","P.O. Box 1848, University, MS 38677-1848",NA,NA
"University of New England","11 Hills Beach Rd, Biddeford, ME 04005",43.4583334100743,-70.3826264006981
"University of New Hampshire","Thompson Hall, 105 Main Street, Durham, NH 03824-3547",NA,NA
"University of New Haven","300 Boston Post Road, West Haven, CT 06516",41.280583,-72.9840127
"University of Rhode Island","Green Hall, 35 Campus Avenue, Kingston, RI 02881",NA,NA
"University of Rochester","Wallis Hall, Rochester, NY 14627",43.12639515,-77.6310768993035
"University of Scranton","800 Linden Street, Scranton, PA 18510-4501",41.40644645,-75.6577496812964
"University of Southern Maine","96 Falmouth St, Portland, ME 04104",43.6618028129086,-70.2786646439716
"University of Utah","201 Presidents Circle, Salt Lake City, UT 84112-9008",40.7628137,-111.836871913683
"University of Vermont","85 S Prospect St, Burlington, VT 05405-0160",44.47827915,-73.2011724783163
"University of Washington","P.O. Box 351230, Seattle, WA 98195-4550",NA,NA
"Vermont Technical College","1 Main Street, P.O. Box 500, Randolph Center, VT 05061-0500",NA,NA
"Wellesley College","106 Central St, Wellesley, MA 02481-8203",42.2937406,-71.3073429
"Wentworth Institute of Technology","550 Huntington Ave, Boston, MA 02115",42.3356047,-71.0955638
"Wesleyan University","229High St, Middletown, CT 06459",NA,NA
"West Virginia University","PO Box 6108, Morgantown, WV 26506-6108",NA,NA
"West Virginia University","Presidents Office Box 6201, Morgantown, WV 26506-6201",NA,NA
"West Virginia Wesleyan College","59 College Ave, Buckhannon, WV 26201-2994",38.989509,-80.221453
"Western New England University","1215 Wilbraham Rd, Springfield, MA 01119-2684",42.11645,-72.52025
"Westfield State University","577 Western Ave, Westfield, MA 01086-1630",42.1327611,-72.7943407046345
"Wheaton College","26 E Main St, Norton, MA 02766",41.9670817,-71.1830931786674
"Wheaton College","501 College Ave, Wheaton, IL 60187-5593",41.8667507,-88.0994383
"Whitman College","345 Boyer Ave, Walla Walla, WA 99362",46.0706922,-118.3288535
"Worcester Polytechnic Institute","100 Institute Road, Worcester, MA 01609-2280",42.27451265,-71.8090594684876
"Worcester State University","486 Chandler St, Worcester, MA 01602-2597",42.26692,-71.83879
