"STUDENT_NUMBER","GRADE_LEVEL","WEEKHOURS"
121625,9,28.0184659090909
124080,11,25.2367424242424
120948,10,28.1628787878788
125142,11,22.4933712121212
121666,9,28.0610795454545
123665,10,26.5198863636364
121026,10,21.4573863636364
121541,9,27.8267045454545
120403,11,23.4535984848485
120996,10,27.265625
120893,10,27.5
121924,10,27.6586174242424
120487,11,19.84375
119238,12,28.9767992424242
122889,9,27.7840909090909
124988,11,19.8484848484848
124528,12,14.9100378787879
123226,12,15.9824810606061
125420,11,18.0345643939394
121601,9,28.1628787878788
121515,12,23.2689393939394
121616,9,27.4786931818182
121544,9,26.266571969697
121572,9,28.0610795454545
120655,11,23.5558712121212
120954,10,29.7111742424242
124017,10,29.1098484848485
121664,9,27.3650568181818
125410,9,28.0823863636364
124591,12,17.8764204545455
120398,11,17.4195075757576
121618,9,27.7793560606061
124972,11,20.5852272727273
122179,12,7.14725378787879
125090,12,19.3210227272727
125129,11,18.7525406504065
120101,12,13.342803030303
125109,11,19.735321969697
125742,10,27.5
123258,12,19.0648674242424
120147,12,20.1041666666667
121037,10,27.6136363636364
122700,12,20.8233901515152
124162,11,19.4767992424242
119938,12,16.5482954545455
120955,10,26.9176136363636
125866,10,28.0610795454545
119680,12,20.0279356060606
125358,9,28.4517045454545
123172,9,31.9933712121212
126483,9,28.0610795454545
121014,10,28.1628787878788
124484,12,21.5833333333333
124403,12,25.4114583333333
119553,12,25.545928030303
121551,9,26.9744318181818
121789,10,26.9176136363636
125362,11,28.9767992424242
121670,9,27.8338068181818
120096,11,18.7836174242424
120512,11,19.5052083333333
124942,10,26.9318181818182
125159,11,21.4938446969697
120406,11,21.640625
120363,11,18.0842803030303
123867,9,27.8267045454545
121646,9,28.0326704545455
121542,9,28.1202651515152
125867,11,21.5625
123566,9,27.829071969697
121049,10,27.8077651515152
121746,11,22.109375
124694,12,14.6392045454545
120216,12,23.9128787878788
119790,12,17.5894886363636
125182,11,26.9152462121212
122249,11,24.0975378787879
125727,10,27.7438446969697
120000,12,15.0137310606061
121621,9,26.4559659090909
126586,10,27.5
126767,11,18.7713068181818
119830,12,18.1770833333333
120426,11,18.5558712121212
125732,10,28.0610795454545
121720,11,19.2168560606061
126427,9,28.0610795454545
125736,10,27.6136363636364
124163,11,20.5255681818182
119856,12,17.7017045454545
124160,12,18.1302083333333
122219,10,27.6420454545455
125840,11,22.577178030303
125295,10,27.5804924242424
125763,10,30.5894886363636
123120,9,27.9403409090909
119499,12,21.2125946969697
123675,12,24.03125
125388,11,29.6775568181818
126446,9,28.1628787878788
126432,9,28.0610795454545
125970,12,20.1349431818182
125765,10,28.0610795454545
119941,12,30.4592803030303
126440,9,24.84375
120463,11,28.9767992424242
121778,9,27.7722537878788
124878,10,27.7722537878788
120880,10,28.1747159090909
120938,10,28.1628787878788
122220,12,17.6321022727273
125764,10,28.8233901515152
120521,11,22.5265151515152
121399,12,18.7604166666667
123136,9,26.8797348484848
124029,10,28.2528409090909
122243,12,15.7481060606061
125747,10,29.5620265151515
125760,10,30.3764204545455
121734,9,27.4786931818182
125779,10,26.8252840909091
124488,12,19.3210227272727
120550,11,22.5383522727273
119995,12,15.3314393939394
120650,11,20.5018939393939
120509,11,17.6846590909091
119717,12,20.0066287878788
119218,12,19.0648674242424
121547,9,29.4128787878788
123221,9,28.0610795454545
121673,9,28.0610795454545
126474,9,28.0610795454545
124565,12,20.1923076923077
123177,11,19.2518939393939
124059,10,27.4786931818182
120902,10,26.9034090909091
120408,11,16.780303030303
120277,12,17.8650568181818
124588,12,11.6714285714286
124347,12,14.8821022727273
125169,11,18.9730113636364
124500,12,29.3953598484848
121617,9,27.7722537878788
119872,12,15.2258522727273
124083,11,19.7372159090909
124161,11,16.9720643939394
120243,12,19.547821969697
123576,11,20.0118371212121
125092,11,21.9801136363636
119450,12,17.0075757575758
125450,11,5.42664670658683
120488,11,26.077178030303
121906,9,27.8267045454545
119413,12,19.3825757575758
126587,9,27.1946022727273
